date,avg_temperature,humidity,energy_consumption,urban_population,energy_price
2020-08-13,11.67,86.45,13776.9,64.52,38.06
2020-08-14,14.48,85.37,9185.31,75.05,164.9
2020-08-15,10.98,71.84,1971.73,88.18,100.62
2020-08-16,14.25,51.81,9575.8,89.96,83.31
2020-08-17,11.76,33.95,1906.97,60.9,130.14
2020-08-18,12.27,59.39,11989.8,67.61,164.13
2020-08-19,9.67,81.26,3949.55,75.72,167.92
2020-08-20,13.29,35.23,11541.46,64.01,166.95
2020-08-21,10.44,73.47,3180.48,87.13,156.0
2020-08-22,10.25,48.34,3533.97,66.55,76.47
2020-08-23,9.6,47.62,10171.59,64.71,159.76
2020-08-24,11.43,63.37,14329.94,87.91,42.92
2020-08-25,14.08,54.75,6455.85,87.08,64.41
2020-08-26,12.42,71.04,5653.06,61.8,191.62
2020-08-27,12.51,44.56,11520.01,76.55,181.25
2020-08-28,11.76,79.63,11984.92,82.21,68.57
2020-08-29,14.37,36.44,7791.87,86.15,55.91
2020-08-30,12.84,78.65,14277.73,78.71,141.89
2020-08-31,9.87,84.76,14366.92,67.16,120.97
2020-09-01,12.45,36.62,12519.96,79.29,174.59
2020-09-02,12.6,70.07,11745.15,73.06,154.35
2020-09-03,8.42,59.14,6718.01,60.48,72.74
2020-09-04,7.74,56.97,7772.36,81.44,119.8
2020-09-05,12.3,89.89,4470.31,72.27,198.79
2020-09-06,9.89,45.94,8173.2,82.41,184.93
2020-09-07,8.56,68.39,5673.48,63.02,186.67
2020-09-08,9.22,78.37,2815.81,87.28,190.62
2020-09-09,12.38,62.51,9251.89,89.32,125.59
2020-09-10,9.53,50.77,15515.51,73.98,165.59
2020-09-11,8.58,53.83,14680.7,64.04,124.76
2020-09-12,10.79,40.48,2718.22,64.4,51.16
2020-09-13,10.3,57.36,9595.92,73.42,144.55
2020-09-14,13.46,34.71,9976.69,74.49,52.94
2020-09-15,14.28,62.36,11197.45,61.78,138.28
2020-09-16,12.06,69.03,8007.92,75.15,180.12
2020-09-17,11.44,34.19,14225.42,88.29,44.52
2020-09-18,10.13,83.49,15023.82,67.42,161.71
2020-09-19,10.31,67.77,5445.18,61.08,34.14
2020-09-20,12.93,75.98,13957.64,83.97,124.07
2020-09-21,13.8,61.34,5608.76,72.47,197.85
2020-09-22,9.85,80.56,2996.48,74.4,157.42
2020-09-23,14.43,62.51,8349.1,62.89,176.31
2020-09-24,12.6,44.89,11824.47,79.61,115.43
2020-09-25,9.68,61.67,15523.98,72.05,152.54
2020-09-26,9.56,80.45,8370.94,86.56,167.5
2020-09-27,8.89,54.61,15764.09,63.22,79.69
2020-09-28,9.33,66.7,3950.48,78.46,35.16
2020-09-29,7.74,38.8,12546.33,70.78,174.91
2020-09-30,10.0,56.36,14080.44,66.58,33.89
2020-10-01,13.29,42.23,3111.61,83.66,80.3
2020-10-02,10.67,43.5,7400.44,81.01,72.02
2020-10-03,10.67,84.47,5932.48,69.25,39.39
2020-10-04,10.13,72.08,6910.51,75.32,107.64
2020-10-05,14.25,77.61,4968.65,82.01,141.45
2020-10-06,15.3,33.65,13392.51,79.54,46.97
2020-10-07,11.62,82.85,6049.31,60.83,45.96
2020-10-08,13.09,47.4,4574.71,70.59,39.56
2020-10-09,15.08,42.6,10400.17,86.52,108.41
2020-10-10,10.22,67.0,10423.71,82.27,48.66
2020-10-11,11.07,34.5,13197.73,79.88,142.45
2020-10-12,14.44,76.9,5214.97,60.75,182.47
2020-10-13,9.73,79.8,11207.91,87.92,172.14
2020-10-14,13.53,39.74,8842.28,87.78,68.68
2020-10-15,13.38,32.25,7717.68,78.87,195.27
2020-10-16,14.48,48.19,3331.27,82.37,180.81
2020-10-17,14.83,62.06,14255.2,85.88,49.53
2020-10-18,13.9,40.11,13758.84,60.62,107.05
2020-10-19,9.8,45.23,6188.91,75.31,68.74
2020-10-20,10.16,85.32,11941.14,76.66,183.93
2020-10-21,12.85,82.05,12915.28,77.07,79.34
2020-10-22,15.36,47.88,9164.78,84.69,133.26
2020-10-23,14.08,88.2,3872.01,77.46,114.95
2020-10-24,12.36,32.06,14335.66,68.01,126.43
2020-10-25,14.92,63.34,4721.1,79.69,48.12
2020-10-26,13.14,41.53,10805.98,65.93,51.91
2020-10-27,12.68,48.78,8438.18,68.09,183.88
2020-10-28,14.71,70.23,13549.29,88.41,170.11
2020-10-29,11.15,51.72,11105.02,69.03,144.88
2020-10-30,15.55,82.28,10825.87,61.05,71.72
2020-10-31,12.13,56.42,10395.46,83.72,132.34
2020-11-01,18.01,58.51,2939.11,86.63,83.21
2020-11-02,16.93,55.91,7099.26,67.82,88.86
2020-11-03,15.45,89.9,2090.65,75.97,57.49
2020-11-04,17.12,52.94,11288.06,84.06,51.56
2020-11-05,17.18,44.18,6457.98,87.22,176.56
2020-11-06,17.48,64.04,7887.7,71.95,112.92
2020-11-07,17.92,61.41,9675.67,83.44,34.64
2020-11-08,18.34,63.61,5236.12,60.02,152.62
2020-11-09,17.48,40.99,8539.2,70.51,123.32
2020-11-10,17.07,40.5,10682.46,84.3,114.6
2020-11-11,15.88,66.99,4941.75,79.31,56.67
2020-11-12,15.07,32.7,9488.64,71.43,66.99
2020-11-13,15.03,79.32,8834.1,82.78,50.42
2020-11-14,15.31,78.06,10265.72,72.76,66.37
2020-11-15,15.71,31.67,10549.12,61.17,57.39
2020-11-16,18.01,31.9,9511.86,84.54,43.49
2020-11-17,15.49,78.58,2494.59,73.64,50.66
2020-11-18,16.63,74.54,1539.76,82.31,179.5
2020-11-19,17.72,39.13,3733.56,66.12,90.59
2020-11-20,16.83,64.74,3603.43,77.55,98.82
2020-11-21,17.14,52.04,3738.37,84.23,36.1
2020-11-22,15.36,34.14,8364.22,67.16,140.73
2020-11-23,16.9,72.74,9895.34,74.04,196.1
2020-11-24,16.98,67.72,7429.25,73.08,73.53
2020-11-25,15.54,40.28,10087.22,60.09,59.99
2020-11-26,17.51,77.46,4434.1,61.21,121.4
2020-11-27,16.53,67.5,7613.61,65.99,182.69
2020-11-28,17.89,44.33,11422.89,76.47,43.47
2020-11-29,15.45,65.08,6057.12,83.45,154.08
2020-11-30,17.44,65.36,10034.03,83.58,54.74
2020-12-01,22.49,45.94,1302.27,75.92,32.17
2020-12-02,22.49,48.13,1179.67,62.46,100.14
2020-12-03,22.49,50.87,5744.71,74.16,135.97
2020-12-04,22.49,56.43,1482.56,88.92,158.57
2020-12-05,22.49,49.3,4308.12,86.12,128.08
2020-12-06,22.49,34.95,6726.67,69.59,128.69
2020-12-07,22.49,51.02,7093.71,65.56,37.26
2020-12-08,22.49,86.31,7753.53,86.09,113.03
2020-12-09,22.49,75.9,2518.94,76.22,174.72
2020-12-10,22.49,45.74,1923.15,74.54,178.58
2020-12-11,22.49,63.61,2338.84,72.2,131.77
2020-12-12,22.49,43.24,1234.72,72.77,81.05
2020-12-13,22.49,62.15,3627.5,69.13,199.31
2020-12-14,22.49,54.1,6482.46,83.94,175.58
2020-12-15,22.49,82.32,1278.58,73.44,125.16
2020-12-16,22.49,44.12,5097.43,89.45,146.74
2020-12-17,22.49,52.52,6731.0,87.67,104.02
2020-12-18,22.49,53.74,7981.74,80.8,90.35
2020-12-19,22.49,72.14,7168.81,87.86,119.29
2020-12-20,22.49,54.02,2885.81,82.94,78.71
2020-12-21,22.49,72.05,5072.47,72.88,145.76
2020-12-22,22.49,89.65,3973.89,84.13,168.09
2020-12-23,22.49,49.27,5772.57,79.93,36.63
2020-12-24,22.49,60.58,4812.26,72.9,183.04
2020-12-25,22.49,45.02,1283.51,84.02,166.63
2020-12-26,22.49,70.71,6118.55,63.79,197.54
2020-12-27,22.49,60.34,3938.15,83.46,116.81
2020-12-28,22.49,65.61,5465.0,61.33,180.01
2020-12-29,22.49,47.68,4410.38,78.73,36.2
2020-12-30,22.49,32.35,5056.3,63.19,102.89
2020-12-31,22.49,51.25,3026.14,73.32,35.49
2021-01-01,27.0,34.34,2400.47,66.68,170.62
2021-01-02,28.03,66.3,7729.16,73.31,187.28
2021-01-03,28.1,64.57,8879.42,68.44,59.51
2021-01-04,28.98,73.32,11843.81,76.4,170.72
2021-01-05,26.9,44.4,2084.17,88.71,127.21
2021-01-06,27.5,32.72,11711.55,68.97,183.9
2021-01-07,27.25,84.46,11420.04,75.49,64.07
2021-01-08,27.02,78.69,10049.12,72.11,192.16
2021-01-09,29.9,40.01,10519.81,89.8,111.73
2021-01-10,28.45,88.62,10396.12,64.5,199.33
2021-01-11,27.66,82.75,2404.01,67.89,87.37
2021-01-12,28.46,43.28,7126.34,86.63,118.13
2021-01-13,27.9,41.1,8918.03,65.2,87.61
2021-01-14,27.54,72.5,5238.31,76.49,36.46
2021-01-15,27.64,73.67,6991.24,89.84,169.76
2021-01-16,27.51,54.72,5248.94,75.22,101.87
2021-01-17,27.57,40.9,6182.17,75.12,123.19
2021-01-18,27.27,82.17,9002.16,78.59,66.05
2021-01-19,28.83,57.46,8479.59,86.52,63.98
2021-01-20,26.65,57.41,8950.43,84.76,129.53
2021-01-21,28.57,84.67,4153.4,80.58,166.85
2021-01-22,26.5,73.34,1692.75,86.03,102.47
2021-01-23,28.45,55.88,7381.63,75.99,110.16
2021-01-24,26.83,83.52,8384.97,71.96,71.76
2021-01-25,26.5,84.56,5925.78,88.26,131.6
2021-01-26,27.77,76.11,5529.68,73.25,64.57
2021-01-27,28.05,77.67,7081.63,68.99,48.25
2021-01-28,29.68,70.31,2872.72,71.85,82.0
2021-01-29,28.12,68.03,3074.38,84.88,121.62
2021-01-30,26.97,30.22,7055.66,72.99,119.21
2021-01-31,29.09,57.24,2588.71,89.94,159.09
2021-02-01,31.89,56.17,10407.64,70.81,168.65
2021-02-02,30.27,38.29,14901.11,85.21,181.15
2021-02-03,30.57,68.03,8256.61,85.65,176.27
2021-02-04,31.94,56.85,3672.32,75.86,52.99
2021-02-05,33.5,34.68,8396.51,88.11,46.02
2021-02-06,31.01,58.97,5835.92,70.57,111.98
2021-02-07,35.33,46.82,9605.63,84.14,179.71
2021-02-08,29.79,35.82,3816.42,70.38,119.02
2021-02-09,32.3,69.24,14609.56,66.22,187.58
2021-02-10,35.34,53.19,4586.04,86.56,175.94
2021-02-11,30.21,82.95,2630.31,81.4,183.38
2021-02-12,32.16,30.69,7573.58,63.43,193.68
2021-02-13,34.75,77.16,14343.85,62.53,66.14
2021-02-14,33.98,81.35,7480.3,62.97,128.66
2021-02-15,34.77,49.72,13240.73,78.8,141.56
2021-02-16,32.73,52.52,7402.32,60.45,149.72
2021-02-17,31.41,65.3,3699.78,86.42,110.35
2021-02-18,34.93,88.89,3045.81,76.35,83.83
2021-02-19,33.92,47.87,8369.12,62.14,87.36
2021-02-20,32.07,51.23,13264.12,74.87,181.19
2021-02-21,35.21,72.32,13841.22,64.42,140.84
2021-02-22,34.82,38.09,10626.34,62.84,128.77
2021-02-23,33.48,84.1,13807.99,77.37,169.45
2021-02-24,33.75,89.68,7038.33,83.01,111.81
2021-02-25,35.08,46.35,14195.6,76.64,142.1
2021-02-26,30.95,67.94,6988.44,88.07,176.26
2021-02-27,30.24,42.81,3476.33,64.14,41.11
2021-02-28,29.8,34.68,7043.07,73.81,178.81
2021-03-01,32.99,87.46,11606.6,75.4,155.61
2021-03-02,36.04,34.18,8545.78,64.92,195.62
2021-03-03,35.46,81.8,15276.45,60.52,181.74
2021-03-04,32.58,56.45,12376.27,66.86,76.13
2021-03-05,36.32,81.74,6488.89,80.51,67.78
2021-03-06,34.71,76.43,4935.83,79.21,93.42
2021-03-07,31.82,33.2,13383.47,88.76,163.93
2021-03-08,31.33,81.17,15220.85,80.2,74.15
2021-03-09,32.71,67.27,15407.95,78.36,138.95
2021-03-10,32.29,53.5,13091.81,76.85,180.41
2021-03-11,32.09,33.42,8400.08,73.2,106.09
2021-03-12,33.65,44.95,5589.06,81.96,69.18
2021-03-13,32.42,43.8,15364.22,81.21,186.85
2021-03-14,35.69,37.09,10109.91,61.85,109.52
2021-03-15,35.42,51.77,9690.46,88.12,41.68
2021-03-16,32.39,37.76,5006.91,81.12,50.25
2021-03-17,35.48,36.62,5994.9,86.93,113.87
2021-03-18,31.38,35.87,3824.62,64.28,102.71
2021-03-19,35.8,60.04,5219.77,76.02,105.5
2021-03-20,34.59,59.03,8181.49,89.98,133.65
2021-03-21,33.03,85.12,2323.64,63.65,193.28
2021-03-22,32.87,51.58,7736.42,85.43,132.76
2021-03-23,31.22,85.03,11440.98,75.7,190.53
2021-03-24,32.88,53.21,2409.32,76.42,32.2
2021-03-25,34.52,78.83,4628.03,68.05,52.77
2021-03-26,33.43,46.78,8919.36,62.9,130.39
2021-03-27,32.67,33.42,15594.0,85.59,158.34
2021-03-28,31.51,47.9,11456.51,68.82,189.76
2021-03-29,35.28,78.12,2509.83,61.35,43.09
2021-03-30,31.82,56.96,8062.58,65.23,70.52
2021-03-31,30.98,57.8,8897.1,60.78,137.51
2021-04-01,29.62,70.31,10198.03,75.94,154.98
2021-04-02,29.69,81.15,6206.54,81.56,190.45
2021-04-03,32.18,79.87,5013.93,76.86,45.54
2021-04-04,33.16,61.7,2698.52,76.64,67.93
2021-04-05,32.35,74.58,8185.52,66.33,50.71
2021-04-06,34.69,84.96,2105.73,66.72,122.32
2021-04-07,33.36,61.93,3276.75,89.49,105.9
2021-04-08,34.38,83.16,11309.69,68.31,158.73
2021-04-09,34.27,88.77,12110.2,70.59,96.0
2021-04-10,32.53,43.49,8094.86,71.57,134.51
2021-04-11,32.38,60.51,14762.47,74.88,33.93
2021-04-12,33.9,33.17,10722.17,61.86,32.5
2021-04-13,31.42,62.7,13595.78,61.99,56.13
2021-04-14,30.25,70.53,9461.69,83.84,85.88
2021-04-15,33.35,30.99,6229.09,75.19,109.05
2021-04-16,30.23,36.33,11866.35,82.94,88.29
2021-04-17,33.2,30.64,5854.46,86.14,193.27
2021-04-18,32.33,77.07,8077.25,85.56,173.05
2021-04-19,29.89,57.59,8995.03,87.37,88.5
2021-04-20,31.59,37.64,4445.88,64.39,181.59
2021-04-21,34.81,79.22,6041.21,63.32,95.41
2021-04-22,31.69,81.45,10732.23,77.65,150.08
2021-04-23,32.09,35.34,3110.31,60.63,105.1
2021-04-24,33.57,65.97,2773.55,85.71,190.54
2021-04-25,30.6,54.91,4638.35,74.04,160.22
2021-04-26,33.95,39.31,9671.07,82.07,168.26
2021-04-27,32.77,74.78,6686.63,70.74,33.77
2021-04-28,32.42,82.82,2763.73,60.67,175.39
2021-04-29,33.66,43.78,10064.01,81.34,118.34
2021-04-30,31.04,63.46,12856.72,62.53,73.4
2021-05-01,26.87,37.35,9009.67,84.37,106.43
2021-05-02,26.51,67.03,2153.0,64.27,171.02
2021-05-03,28.92,45.47,4756.49,71.3,105.39
2021-05-04,26.75,61.43,10761.27,80.0,132.96
2021-05-05,29.82,31.2,2197.19,62.27,74.63
2021-05-06,27.07,53.12,11935.66,76.86,73.5
2021-05-07,27.9,44.03,5132.88,88.65,174.81
2021-05-08,28.41,47.81,1641.74,82.27,69.08
2021-05-09,29.73,59.35,9905.98,61.32,47.97
2021-05-10,28.42,33.2,2140.89,63.76,191.61
2021-05-11,27.12,88.33,6393.93,62.3,129.25
