date,avg_temperature,humidity,co2_emission,energy_consumption,renewable_share,urban_population,industrial_activity_index,energy_price
12/3/2020,32.6,51.92,494.73,7228.56,14.49,65.42,68.52,146.31
13/3/2020,33.39,79.21,949.29,12036.99,8.14,65.11,81.41,182.99
14/3/2020,34.5,60.17,567.37,12281.41,11.61,80.37,42.74,35.18
15/3/2020,36.28,42.23,334.64,4359.44,9.35,69.77,57.31,46.99
16/3/2020,35.99,81.57,760.32,4861.72,13.7,89.64,40.45,164.04
17/3/2020,31.15,39.63,142.23,12535.68,13.34,74.91,53.66,159.31
18/3/2020,31.14,38.48,467.74,7480.99,9.67,73.13,40.61,128.35
19/3/2020,35.73,33.37,827.2,5589.76,6.73,65.91,63.09,67.23
20/3/2020,31.18,64.04,364.34,8328.66,5.31,80.83,81.19,151.14
21/3/2020,30.79,35.71,420.74,6960.68,9.06,81.78,47.39,76.56
22/3/2020,35.55,63.71,406.49,3946.71,13.38,83.14,74.51,129.39
23/3/2020,35.54,68.3,421.82,15006.93,7.53,67.31,80.06,66.82
24/3/2020,36.87,54.62,709.6,3539.39,11.01,80.46,44.91,33
25/3/2020,31.52,82.4,167.86,8123.51,6.91,68.78,55.42,98.06
26/3/2020,33.76,56.09,624.86,15073.69,5.98,82.57,82.93,180.01
27/3/2020,36.98,32.67,191.14,11786.22,7.58,66.66,88.39,172.18
28/3/2020,37.15,80.75,565.13,15691.26,9.2,89.27,91.47,84.17
29/3/2020,36.69,74.5,870.17,5216.4,9.62,82.32,41.04,36.9
30/3/2020,36.97,34.03,929.22,8387.79,5.76,62.97,43.32,112.65
31/3/2020,34.33,33.74,392.91,10830.5,14.9,74.77,58.95,191.5
1/4/2020,34.69,38.84,844.31,12801.03,6.64,89.84,40.11,81.1
2/4/2020,32.59,59.74,811.97,2609.17,10.86,67.05,82.34,56.85
3/4/2020,31.15,83.53,853.51,14774.63,11.15,65.42,94.68,182
4/4/2020,32.16,41.42,669.35,7512.42,14.56,85.77,61.91,153.28
5/4/2020,34.53,38.21,587.88,6239.39,14.17,79.56,63.17,187.81
6/4/2020,33.19,84.03,536.93,4072.95,10.79,69.13,46.82,61.6
7/4/2020,29.51,46.32,243.12,6912.38,5.35,67.34,69.6,51.37
8/4/2020,35.01,54.49,114.33,2591.17,8.12,89.76,46.21,119.18
9/4/2020,31.48,86.63,496.91,10326.94,9.14,87.38,51.15,37.65
10/4/2020,33.42,47.38,866.26,10926.18,11.71,72.14,43.02,91.72
11/4/2020,33.98,39.95,253.83,4837.06,5.04,87.65,85.45,162.57
12/4/2020,33.82,50.37,875.42,8768.07,6.28,63.43,60.19,144.82
13/4/2020,33.79,41.13,370.64,3072.27,12.89,74.37,86.31,94.49
14/4/2020,33.36,34.17,448.53,11583.32,6.84,65.67,78.73,76.57
15/4/2020,31.15,79.93,395.37,12815.56,10.79,81.7,99.18,185.34
16/4/2020,32.83,50.87,640.08,8392.22,12.71,88.62,88.53,118.59
17/4/2020,33.17,88.37,453.96,8127.43,14.21,63.18,62.99,147.91
18/4/2020,33.36,51.38,640.47,3818.58,5.85,68.86,48.1,64.38
19/4/2020,32.74,89.28,253.68,13707.73,14.67,69.21,47.76,36.38
20/4/2020,33.4,77.4,270,9957.17,7.03,65.98,57.37,153.42
21/4/2020,33.99,78.23,863.68,2607.31,12.94,78.1,49.59,78.34
22/4/2020,29.54,68.49,928.03,3865.88,12.51,75.36,43.04,148.63
23/4/2020,32.79,55.63,707.68,8992.8,14.43,67.14,57.58,183.03
24/4/2020,34.06,88.6,287.1,9757.31,12.07,83.69,81.6,52.83
25/4/2020,33.55,30.27,380.25,14736.76,5.45,85.75,68.7,68.24
26/4/2020,31.66,46.67,112.22,6273.14,13.77,77.56,43.33,57.96
27/4/2020,30.76,72.38,816.61,11776.65,12.91,61.45,74.76,70.26
28/4/2020,30.68,79.4,635.93,10146.96,13.54,60.08,64.94,61.23
29/4/2020,32.02,39.71,638.66,2070.97,13.07,77.52,49.39,33.98
30/4/2020,31.25,59.28,344.56,13951.34,8.45,65.24,72.1,41.83
1/5/2020,28.27,66.75,718.36,7046.64,6.02,87.74,93.03,125.1
2/5/2020,29.62,55.18,250,2007.23,6.02,61.48,60.74,184.55
3/5/2020,29.25,53.77,525.41,6975.73,12.97,80.78,91.41,175.16
4/5/2020,28.77,49.18,420.68,5823.43,8.7,64.97,46.17,84.68
5/5/2020,27.01,85.41,630.68,7845.34,11.05,86.11,58.09,194.29
6/5/2020,29,61.4,557.28,9173.75,8.37,64.84,95.7,108.31
7/5/2020,28.73,33.15,342.59,10677.15,6.94,79.7,54.62,129.32
8/5/2020,27.58,71.85,724.84,2400.48,8.35,76.21,70.41,86.16
9/5/2020,27.51,72.95,82.47,9895.94,6.92,64.05,84.17,59
10/5/2020,26.54,60,134.9,11709.31,9.85,86.16,90.28,176.58
11/5/2020,27.2,86.64,572.58,6653.57,13.8,65.43,66.32,123.98
12/5/2020,28.66,40.19,125.01,9110.29,13.28,63.28,73.46,154.69
13/5/2020,28.38,63.41,562.86,11604.27,13.94,81.31,41.41,51.47
14/5/2020,28.95,66.25,328.41,5537.23,8.3,65.45,81.54,45.64
15/5/2020,29.24,76.42,648.72,10570.35,14.48,79.32,49.23,176.95
16/5/2020,27.84,66.55,364.84,7329.68,11.85,66.76,97.51,86.41
17/5/2020,27.88,60.78,78,11343.06,11.41,63.14,85.6,199.4
18/5/2020,28.36,60.94,376.48,8890.9,6.66,61.68,92.9,101.91
19/5/2020,26.5,64.46,495.36,6513.41,7.23,76.82,56.33,196.53
20/5/2020,28.59,40.49,446.44,10459.63,12.15,63.29,72.96,49.71
21/5/2020,28.45,60.46,354.6,11357.31,8.76,79.52,72.54,197.94
22/5/2020,28.57,84.73,731.54,11854.58,6.55,73.59,51.21,138.13
23/5/2020,27.1,40.89,141.74,3413.72,5.46,76.5,74.48,139.71
24/5/2020,27.4,73.25,697.09,8551.78,12.04,63.39,65.06,199.55
25/5/2020,28.96,69.41,689.46,5261.78,10.94,85.92,79.51,32.69
26/5/2020,27.57,84.93,653.52,11569.43,9.19,89.22,66.16,138.51
27/5/2020,27.62,31.17,91.4,7099.38,11.83,68.2,44.4,137.04
28/5/2020,26.79,43.92,391.06,2315.93,14.88,64.04,65.55,105.46
29/5/2020,29.03,50.15,639.17,4800.02,6.68,69.08,62.06,132.23
30/5/2020,28.62,73.72,377.61,7873.45,14.14,65.46,66.44,58.88
31/5/2020,29.48,44,468.34,2404.31,5.58,78.68,63.45,71.07
1/6/2020,22.49,61.6,363,7972.31,13.34,67.57,97.98,150.52
2/6/2020,22.49,35.65,203.84,7699.57,6.95,86.74,66.16,112.28
3/6/2020,22.49,49.75,103.28,4553.09,6.56,71.53,42.3,177.08
4/6/2020,22.49,46.06,463.05,2030.2,8.12,85.59,72.56,108.74
5/6/2020,22.49,52.89,207.6,5606.99,10.99,68.18,45.42,153.47
6/6/2020,22.49,55.5,455.31,5524.97,10.85,62.69,89.42,105.27
7/6/2020,22.49,88.4,205.87,4021.86,14.18,86.95,81.58,198.93
8/6/2020,22.49,40.48,237.82,6983.04,9.78,82.95,47.13,81.93
9/6/2020,22.49,76.66,158.4,1144.24,10.11,63.18,57.07,193.31
10/6/2020,22.49,38.72,443.14,7217.81,9.02,82.6,83.48,36.84
11/6/2020,22.49,89.88,381.08,4409.47,6.81,76.19,89.06,69.6
12/6/2020,22.49,30.52,171.9,3434.64,11.2,81.54,97.21,77.57
13/6/2020,22.49,47.02,193.46,4137.3,14.3,86.78,81.47,170.54
14/6/2020,22.49,73.14,431.81,1119.81,5.63,88.68,91.09,88.59
15/6/2020,22.49,38.1,483.2,2586.44,9.77,86.14,63.01,37.61
16/6/2020,22.49,50.14,101.53,2669.79,13.7,76.75,80.21,42.18
17/6/2020,22.49,50.39,373.5,5160.04,5.32,81.45,64.09,47.09
18/6/2020,22.49,51.07,303.04,4893.53,13.56,83.59,96.52,167.19
19/6/2020,22.49,56.26,343.37,3635.36,5.07,62.22,54.26,142.16
20/6/2020,22.49,82.89,145.66,6257.81,10.37,70.35,88.32,45.42
21/6/2020,22.49,69.1,486.73,3082.68,12.34,79.3,79.18,33.92
22/6/2020,22.49,34.76,258.75,2769.41,14.66,81.22,54.23,98.82
23/6/2020,22.49,84.12,262.75,6056.62,14.93,61.49,56.54,99.28
24/6/2020,22.49,64.77,483.84,5863.36,13.53,69.64,55.37,198.84
25/6/2020,22.49,81.32,439.89,3004.11,9.88,76.35,44.61,198.87
26/6/2020,22.49,72.01,192.98,7596.09,13.6,62.15,65.51,118.64
27/6/2020,22.49,68.85,144.65,1435.12,5.24,88.2,48.61,71.05
28/6/2020,22.49,57.38,269.31,3883.77,8.35,63.49,92.12,153.8
29/6/2020,22.49,82.64,311.38,3532.14,6.93,79.63,97.51,62.84
30/6/2020,22.49,40.15,381.54,1797.56,11.83,86.68,79.32,42.76
1/7/2020,18.14,39.06,151.98,7488.33,8.12,65.05,42.23,146.97
2/7/2020,16.72,38.16,174.45,8905.51,8.12,78.85,89.3,139.13
3/7/2020,16.25,32.04,138.26,8331.26,14.71,67.92,57.88,91.78
4/7/2020,18.23,87.88,582.72,3860.32,9.73,84.15,81.32,171
5/7/2020,15.6,48.56,672.41,10603.85,7.09,81.1,67.82,65.91
6/7/2020,18.29,57.95,336.23,8146.81,7.13,62.11,57.35,108.85
7/7/2020,18.44,35.77,166.49,3194.58,6.62,79.13,80.97,125.61
8/7/2020,16.41,58.07,115.01,3986.62,12.19,69.25,40.8,123.18
9/7/2020,16.84,62.22,376.45,4443.37,10.96,60.07,52.86,150.05
10/7/2020,17.76,37.37,695.52,4048.21,9.09,73.25,66.94,60.17
11/7/2020,17.06,48.17,710.3,8648.81,8.37,67.12,71.15,184.9
12/7/2020,15.71,51.48,500.7,2054,10.99,88.7,64.43,197.6
13/7/2020,16.85,71.97,739.25,11359.69,10.52,63.87,67.43,182.74
14/7/2020,15.7,44.59,400.52,8971.14,13.87,63.82,87.21,55.92
15/7/2020,16.82,46.36,464.86,5888.6,10.05,62.95,70.11,39.99
16/7/2020,17.68,70.23,294.12,8010.85,6.51,85.15,86.75,194.58
17/7/2020,16.04,81.31,650.69,5048.88,10.4,67.81,96.84,166.23
18/7/2020,15.67,40.88,408.55,10994.53,10.93,62.16,98.35,72.62
19/7/2020,18.15,32.96,261.75,6372.81,12.56,77.31,86.08,124.3
20/7/2020,16.02,88.06,710.98,9719.91,10.45,60.1,81.8,107.5
21/7/2020,15.53,30.91,393.13,11903.36,11.22,88.4,64.32,136.41
22/7/2020,15.99,76.29,212.19,3898.14,11.6,83.73,79.1,83.19
23/7/2020,15.14,32.65,189.75,6794.98,12.84,71.6,81.84,73.37
24/7/2020,17.19,67.7,243.5,4425.56,6.84,76.15,46.84,94.86
25/7/2020,16.82,57.42,646.24,6483.69,13.53,85.81,58.59,75.68
26/7/2020,15.99,89.38,591.24,6099.77,14.23,78.58,97.38,89.6
27/7/2020,16.02,56.72,447.86,3742.38,5.17,65.1,60.7,163.53
28/7/2020,16.86,63.85,661.69,5021.52,10.72,66.22,70.72,196.78
29/7/2020,15.77,62.11,181.7,4235.78,11.06,62.38,65.7,61.14
30/7/2020,15.36,85.09,116.76,7965.03,12.37,76.01,47.21,41.73
31/7/2020,16.92,35.17,690.17,11734.93,12.56,78.77,64.79,82.44
1/8/2020,10.86,86.18,546.81,11436.14,14.42,77.26,47.11,170.96
2/8/2020,14.09,59.22,417.95,12391.27,13.31,79.11,61.29,195.74
3/8/2020,9.57,82.09,366.42,13859.64,6.88,65.43,87.42,131.27
4/8/2020,13.38,81.33,692.23,5558.87,9.23,80.07,75.49,35.24
5/8/2020,9.56,75.69,526.81,11886.5,7.43,83.68,97.51,168.91
6/8/2020,13.85,76.18,915,3403.6,14.33,77.19,50.17,65.56
7/8/2020,13.76,60.08,675.63,14229.94,7.26,83.39,74.11,190.61
8/8/2020,13.98,86.33,316.94,5151.71,5.58,88.49,89.98,123.99
9/8/2020,15.27,71.68,667.27,8507.14,14.5,77.98,56.99,58.49
10/8/2020,12.37,66.18,246.52,13902.23,8.79,65.55,86.32,151.31
11/8/2020,14.79,31.45,306.31,7658.84,8.45,72.94,96.19,199.59
12/8/2020,14.48,57.13,843.15,4568.45,14.9,67.28,41.59,155.92
13/8/2020,11.67,86.45,545.33,13776.9,14.68,64.52,61.06,38.06
14/8/2020,14.48,85.37,222.41,9185.31,6.46,75.05,78.33,164.9
15/8/2020,10.98,71.84,852.22,1971.73,10.98,88.18,98.14,100.62
16/8/2020,14.25,51.81,784.58,9575.8,13.62,89.96,89.53,83.31
17/8/2020,11.76,33.95,664.57,1906.97,11.34,60.9,94.06,130.14
18/8/2020,12.27,59.39,238.42,11989.8,11.85,67.61,99.97,164.13
19/8/2020,9.67,81.26,595.35,3949.55,14.77,75.72,82.3,167.92
20/8/2020,13.29,35.23,611.89,11541.46,8.52,64.01,98.45,166.95
21/8/2020,10.44,73.47,383.88,3180.48,5.6,87.13,92.06,156
22/8/2020,10.25,48.34,856.99,3533.97,7.74,66.55,87.66,76.47
23/8/2020,9.6,47.62,312.98,10171.59,6.91,64.71,82.59,159.76
24/8/2020,11.43,63.37,190.83,14329.94,13.06,87.91,95.23,42.92
25/8/2020,14.08,54.75,382.19,6455.85,13.6,87.08,61.69,64.41
26/8/2020,12.42,71.04,612.63,5653.06,10.57,61.8,58.62,191.62
27/8/2020,12.51,44.56,694.19,11520.01,13.27,76.55,81.53,181.25
28/8/2020,11.76,79.63,928.04,11984.92,8.18,82.21,70.73,68.57
29/8/2020,14.37,36.44,780.57,7791.87,11.86,86.15,58.59,55.91
30/8/2020,12.84,78.65,215.63,14277.73,13.66,78.71,44.31,141.89
31/8/2020,9.87,84.76,871.37,14366.92,6.51,67.16,75.27,120.97
1/9/2020,12.45,36.62,567.1,12519.96,8.11,79.29,55.71,174.59
2/9/2020,12.6,70.07,246.08,11745.15,7.43,73.06,62.96,154.35
3/9/2020,8.42,59.14,550.37,6718.01,7.23,60.48,45.75,72.74
4/9/2020,7.74,56.97,568.45,7772.36,11.79,81.44,43.89,119.8
5/9/2020,12.3,89.89,891.64,4470.31,14.71,72.27,56.71,198.79
6/9/2020,9.89,45.94,621.95,8173.2,12.84,82.41,68.89,184.93
7/9/2020,8.56,68.39,931.09,5673.48,5.31,63.02,56.65,186.67
8/9/2020,9.22,78.37,679.6,2815.81,11.52,87.28,71.29,190.62
9/9/2020,12.38,62.51,262.63,9251.89,13.81,89.32,50.3,125.59
10/9/2020,9.53,50.77,379.41,15515.51,14.12,73.98,84.22,165.59
11/9/2020,8.58,53.83,242.57,14680.7,10.06,64.04,63.3,124.76
12/9/2020,10.79,40.48,443.8,2718.22,6.66,64.4,55.87,51.16
13/9/2020,10.3,57.36,936.55,9595.92,7.35,73.42,83.58,144.55
14/9/2020,13.46,34.71,219.69,9976.69,5.68,74.49,95.9,52.94
15/9/2020,14.28,62.36,342.8,11197.45,9.34,61.78,61.53,138.28
16/9/2020,12.06,69.03,876.93,8007.92,9.83,75.15,84.04,180.12
17/9/2020,11.44,34.19,958.86,14225.42,14.67,88.29,42.52,44.52
18/9/2020,10.13,83.49,870.45,15023.82,8.36,67.42,50.71,161.71
19/9/2020,10.31,67.77,194.39,5445.18,7.15,61.08,47.85,34.14
20/9/2020,12.93,75.98,636.32,13957.64,9.56,83.97,72.61,124.07
21/9/2020,13.8,61.34,108.68,5608.76,13.12,72.47,98.75,197.85
22/9/2020,9.85,80.56,573.06,2996.48,7.56,74.4,85.34,157.42
23/9/2020,14.43,62.51,214.29,8349.1,14.53,62.89,94.58,176.31
24/9/2020,12.6,44.89,770.56,11824.47,10.22,79.61,62.5,115.43
25/9/2020,9.68,61.67,188.27,15523.98,5.49,72.05,81.43,152.54
26/9/2020,9.56,80.45,692.96,8370.94,14.93,86.56,76.73,167.5
27/9/2020,8.89,54.61,430.04,15764.09,5.24,63.22,70.53,79.69
28/9/2020,9.33,66.7,159.18,3950.48,10.75,78.46,64.19,35.16
29/9/2020,7.74,38.8,423.37,12546.33,13.81,70.78,99.75,174.91
30/9/2020,10,56.36,700.13,14080.44,7.95,66.58,80.28,33.89
1/10/2020,13.29,42.23,827.5,3111.61,8.69,83.66,76.35,80.3
2/10/2020,10.67,43.5,353.18,7400.44,11.93,81.01,40.05,72.02
3/10/2020,10.67,84.47,129.74,5932.48,9.52,69.25,89.12,39.39
4/10/2020,10.13,72.08,231.62,6910.51,8.8,75.32,51.91,107.64
5/10/2020,14.25,77.61,715.52,4968.65,13.98,82.01,44.29,141.45
6/10/2020,15.3,33.65,331.15,13392.51,11.35,79.54,95.35,46.97
7/10/2020,11.62,82.85,760.71,6049.31,12.7,60.83,95.67,45.96
8/10/2020,13.09,47.4,829.52,4574.71,11,70.59,68.71,39.56
9/10/2020,15.08,42.6,633.65,10400.17,7.25,86.52,75.83,108.41
10/10/2020,10.22,67,256.39,10423.71,11.89,82.27,81.55,48.66
11/10/2020,11.07,34.5,719.06,13197.73,13.98,79.88,75.82,142.45
12/10/2020,14.44,76.9,202.33,5214.97,11.72,60.75,72.08,182.47
13/10/2020,9.73,79.8,366.71,11207.91,13.63,87.92,99.75,172.14
14/10/2020,13.53,39.74,397.6,8842.28,6.16,87.78,85.17,68.68
15/10/2020,13.38,32.25,573.6,7717.68,11.08,78.87,68.71,195.27
16/10/2020,14.48,48.19,491.42,3331.27,13.29,82.37,58.29,180.81
17/10/2020,14.83,62.06,382.01,14255.2,5.9,85.88,99.57,49.53
18/10/2020,13.9,40.11,743.08,13758.84,11.05,60.62,54.54,107.05
19/10/2020,9.8,45.23,887.38,6188.91,8.73,75.31,59.81,68.74
20/10/2020,10.16,85.32,858.38,11941.14,8.69,76.66,61.98,183.93
21/10/2020,12.85,82.05,323.81,12915.28,12.61,77.07,65.69,79.34
22/10/2020,15.36,47.88,764.26,9164.78,9.42,84.69,47.82,133.26
23/10/2020,14.08,88.2,113,3872.01,13.7,77.46,63.05,114.95
24/10/2020,12.36,32.06,733.28,14335.66,14.32,68.01,73.78,126.43
25/10/2020,14.92,63.34,166.68,4721.1,14.03,79.69,93.06,48.12
26/10/2020,13.14,41.53,628.26,10805.98,12.39,65.93,90.78,51.91
27/10/2020,12.68,48.78,445.72,8438.18,12.04,68.09,91.7,183.88
28/10/2020,14.71,70.23,575.94,13549.29,8.82,88.41,82.79,170.11
29/10/2020,11.15,51.72,295.21,11105.02,5.57,69.03,72.55,144.88
30/10/2020,15.55,82.28,365.91,10825.87,8.3,61.05,44.64,71.72
31/10/2020,12.13,56.42,665.51,10395.46,14.54,83.72,56.75,132.34
1/11/2020,18.01,58.51,652.63,2939.11,13.27,86.63,83.81,83.21
2/11/2020,16.93,55.91,723.71,7099.26,9.57,67.82,43.48,88.86
3/11/2020,15.45,89.9,707,2090.65,9.02,75.97,77.71,57.49
4/11/2020,17.12,52.94,357.55,11288.06,5.91,84.06,63.14,51.56
5/11/2020,17.18,44.18,129.58,6457.98,14.59,87.22,92.4,176.56
6/11/2020,17.48,64.04,256.72,7887.7,9.23,71.95,45.46,112.92
7/11/2020,17.92,61.41,191.32,9675.67,12.03,83.44,40.23,34.64
8/11/2020,18.34,63.61,716.91,5236.12,6.53,60.02,57.5,152.62
9/11/2020,17.48,40.99,655.28,8539.2,5.41,70.51,79.71,123.32
10/11/2020,17.07,40.5,645.65,10682.46,8.22,84.3,83.04,114.6
11/11/2020,15.88,66.99,122.72,4941.75,6.64,79.31,67.93,56.67
12/11/2020,15.07,32.7,178.92,9488.64,13.69,71.43,56.83,66.99
13/11/2020,15.03,79.32,182.45,8834.1,5.8,82.78,95.91,50.42
14/11/2020,15.31,78.06,304.16,10265.72,7.35,72.76,56.04,66.37
15/11/2020,15.71,31.67,423.21,10549.12,7.12,61.17,55.71,57.39
16/11/2020,18.01,31.9,238.03,9511.86,6.48,84.54,87.78,43.49
17/11/2020,15.49,78.58,714.97,2494.59,14.71,73.64,63.58,50.66
18/11/2020,16.63,74.54,194.32,1539.76,5.71,82.31,96.1,179.5
19/11/2020,17.72,39.13,398.84,3733.56,6.78,66.12,76.33,90.59
20/11/2020,16.83,64.74,559.52,3603.43,14.48,77.55,99.32,98.82
21/11/2020,17.14,52.04,230.39,3738.37,5.38,84.23,67.22,36.1
22/11/2020,15.36,34.14,704.31,8364.22,14.76,67.16,81.68,140.73
23/11/2020,16.9,72.74,126.55,9895.34,5.87,74.04,89.9,196.1
24/11/2020,16.98,67.72,270.64,7429.25,12.71,73.08,41.92,73.53
25/11/2020,15.54,40.28,255.91,10087.22,13.19,60.09,68.26,59.99
26/11/2020,17.51,77.46,78.3,4434.1,12.67,61.21,90.65,121.4
27/11/2020,16.53,67.5,719.09,7613.61,11.28,65.99,95.28,182.69
28/11/2020,17.89,44.33,543.77,11422.89,5.38,76.47,64.25,43.47
29/11/2020,15.45,65.08,731.15,6057.12,13.26,83.45,89.64,154.08
30/11/2020,17.44,65.36,338.48,10034.03,7.14,83.58,66.82,54.74
1/12/2020,22.49,45.94,59.29,1302.27,9.4,75.92,91.87,32.17
2/12/2020,22.49,48.13,447.55,1179.67,5.13,62.46,53.85,100.14
3/12/2020,22.49,50.87,273.31,5744.71,13.8,74.16,85.4,135.97
4/12/2020,22.49,56.43,224.02,1482.56,11.27,88.92,82.35,158.57
5/12/2020,22.49,49.3,297.37,4308.12,8.13,86.12,81.92,128.08
6/12/2020,22.49,34.95,469.31,6726.67,12.36,69.59,71.62,128.69
7/12/2020,22.49,51.02,467.2,7093.71,14.32,65.56,52.2,37.26
8/12/2020,22.49,86.31,384.82,7753.53,6.85,86.09,87.63,113.03
9/12/2020,22.49,75.9,333.22,2518.94,8.2,76.22,77.02,174.72
10/12/2020,22.49,45.74,464.54,1923.15,8.58,74.54,85.01,178.58
11/12/2020,22.49,63.61,372.72,2338.84,7.22,72.2,73.48,131.77
12/12/2020,22.49,43.24,113.22,1234.72,11.26,72.77,61.85,81.05
13/12/2020,22.49,62.15,59.42,3627.5,10.49,69.13,93.62,199.31
